restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
Biryani Hut,Quick Bites,3.5,9,300,Yes,No,"North Indian, Biryani",Bellandur,Sarjapur Road,Average Rated
Biryani Joint,Quick Bites,3.3,4,200,No,No,"South Indian, Biryani",Kalyan Nagar,Kammanahalli,Average Rated
Biryani Junction,Quick Bites,2.3,298,450,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Low Rated
Biryani Khazana,"Takeaway, Delivery",3.0,10,600,Yes,No,Biryani,Indiranagar,Indiranagar,Average Rated
Biryani Kitchen,Food Court,4.3,627,450,Yes,No,Biryani,Brookefield,Whitefield,High Rated
Biryani Knights,Delivery,3.6,21,300,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Jp Nagar,Average Rated
Biryani Lakhnawi,Quick Bites,3.6,13,500,No,No,"Lucknowi, Biryani",Brookefield,Marathahalli,Average Rated
Biryani Magic,Quick Bites,3.5,31,300,Yes,No,"North Indian, Biryani",Bannerghatta Road,Btm,Average Rated
Biryani Mandra,"Takeaway, Delivery",3.8,70,500,Yes,No,"Seafood, Salad, North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
Biryani Mane,Quick Bites,3.6,66,600,Yes,No,"North Indian, Biryani",Marathahalli,Marathahalli,Average Rated
Biryani Miya,Delivery,2.9,15,600,Yes,No,"Biryani, North Indian",Marathahalli,Marathahalli,Low Rated
Biryani Nights,Quick Bites,3.5,20,400,Yes,No,"South Indian, North Indian, Chinese",Jayanagar,Bannerghatta Road,Average Rated
Biryani Palace,Casual Dining,3.6,37,750,Yes,No,"Biryani, North Indian, Chinese",Kalyan Nagar,Nagawara,Average Rated
Biryani Paradise,Casual Dining,3.8,131,700,Yes,No,"Andhra, Biryani",Brookefield,Whitefield,Average Rated
Biryani Park,Casual Dining,3.4,85,500,Yes,No,"North Indian, Biryani, Chinese, Mughlai",Marathahalli,Brookefield,Average Rated
Biryani Point,Quick Bites,3.2,7,250,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Average Rated
Biryani Pot,Casual Dining,3.8,1071,500,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Biryani Rooh-E-Khaas,Delivery,2.8,40,500,Yes,No,"Biryani, Mughlai",Hsr,Hsr,Low Rated
Biryani Royals Garden,Quick Bites,2.8,40,500,Yes,No,"North Indian, Biryani, Mughlai",Banashankari,Kumaraswamy Layout,Low Rated
Biryani Spot,Quick Bites,3.5,9,300,Yes,No,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Biryani Times,Quick Bites,3.5,16,300,No,No,Biryani,Bannerghatta Road,Jp Nagar,Average Rated
Biryani Treat,Quick Bites,2.8,40,400,No,No,Biryani,Malleshwaram,Rajajinagar,Low Rated
Biryani Treats,Delivery,2.5,105,650,No,No,Biryani,New Bel Road,New Bel Road,Low Rated
Biryani Trip,Delivery,2.8,40,400,Yes,No,Biryani,Brigade Road,Indiranagar,Low Rated
Biryani@Bangalore,"Takeaway, Delivery",2.9,86,300,No,No,"Biryani, Chinese, South Indian",Brookefield,Marathahalli,Low Rated
Biryanis And More,Casual Dining,4.0,618,750,Yes,No,"Biryani, North Indian, Chinese, Andhra, South Indian",Banashankari,Jayanagar,High Rated
Bisi Thindi,Quick Bites,2.8,40,150,Yes,No,South Indian,Frazer Town,Kammanahalli,Low Rated
Bisimillah Biriyani,Quick Bites,3.5,11,300,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Bisimillah Biriyani'S & Kebab'S,Quick Bites,3.3,6,300,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Bismilla Kabab & Biryani Centre,Quick Bites,3.2,4,300,No,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Average Rated
Bismilla Vaniyambadi Biriyani,Quick Bites,2.8,40,200,No,No,"Biryani, North Indian",Indiranagar,Domlur,Low Rated
Bismillah Ambur Biryani,Quick Bites,3.1,7,150,No,No,Biryani,Mg Road,Indiranagar,Average Rated
Bismillah Bawarchi,Quick Bites,3.6,42,300,Yes,No,"North Indian, Chinese, Biryani",Brookefield,Brookefield,Average Rated
Biso - Citrus Hotels,Casual Dining,3.0,120,1000,No,No,"North Indian, Italian, Chinese, Asian",Bellandur,Bellandur,Average Rated
Bistro Claytopia,Cafe,4.1,1845,600,Yes,Yes,"Cafe, American, Italian, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,High Rated
Bistro Oui,"Cafe, Bar",4.1,400,1200,Yes,Yes,"Cafe, Continental, Salad, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Biswal'S Food Circle,Quick Bites,2.8,40,350,No,No,"Chinese, North Indian",Kammanahalli,Banaswadi,Low Rated
Bite And Pipes,Casual Dining,3.5,13,500,No,No,"Continental, Chinese",Kalyan Nagar,Kammanahalli,Average Rated
Bite Me Cupcakes,Dessert Parlor,4.1,189,300,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,High Rated
Bite Sip Repeat,Quick Bites,3.4,6,150,No,No,"Fast Food, South Indian, North Indian",Electronic City,Electronic City,Average Rated
Bitebox,Quick Bites,4.4,150,300,Yes,No,"North Indian, Chinese, Fast Food, Beverages, Desserts",Brookefield,Marathahalli,High Rated
Bites 2 Binge,Casual Dining,3.7,19,750,Yes,No,North Indian,Indiranagar,Indiranagar,Average Rated
Bitez,Quick Bites,2.8,40,100,No,No,Fast Food,Banashankari,Banashankari,Low Rated
Biting Junction,Quick Bites,3.9,119,350,Yes,No,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",Whitefield,Whitefield,Average Rated
Black Cup Cafe,Cafe,3.6,19,400,Yes,No,"Cafe, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Black Deer,"Takeaway, Delivery",4.4,149,400,No,No,"Beverages, Ice Cream, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Black Jack,Bar,3.7,318,1400,No,No,"North Indian, Chinese",New Bel Road,New Bel Road,Average Rated
Black Kitchen,Casual Dining,3.7,25,400,Yes,No,"Kerala, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Average Rated
Black Mug Cafe,Cafe,3.7,171,300,Yes,No,Cafe,Bannerghatta Road,Bannerghatta Road,Average Rated
Black Pagoda,Quick Bites,2.9,11,300,No,No,"North Indian, South Indian, Chinese",Whitefield,Whitefield,Low Rated
Black Pepper Lounge - Case De Bengaluru,Lounge,3.7,81,1200,No,Yes,Finger Food,Koramangala 4Th Block,Koramangala 6Th Block,Average Rated
Black Rock Cafe,Cafe,3.5,22,500,No,No,Cafe,Marathahalli,Marathahalli,Average Rated
Blend - Royal Orchid Suites,Casual Dining,3.4,16,1300,No,No,"Chinese, North Indian",Whitefield,Whitefield,Average Rated
Blends Juice Cafe,Quick Bites,3.5,40,200,No,No,"Beverages, Desserts",Koramangala 6Th Block,Btm,Average Rated
Bling - The Zuri,Lounge,3.7,228,2100,No,No,"Continental, North Indian",Whitefield,Whitefield,Average Rated
Blistering Barnacles,Pub,3.9,1214,1200,No,Yes,"Chinese, Continental, American, Steak",Indiranagar,Indiranagar,Average Rated
Blk Plus Wht,"Casual Dining, Cafe",4.3,112,800,No,No,"Asian, Thai, North Indian",Hsr,Hsr,High Rated
Bloomsbury'S Global Kitchen & Bakehouse,"Cafe, Dessert Parlor",4.5,733,900,Yes,Yes,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",Brookefield,Whitefield,High Rated
Blow,Cafe,4.2,935,750,Yes,Yes,"Cafe, Continental, American, Burger",Brigade Road,Church Street,High Rated
Blu Dale Fast Food,Quick Bites,3.3,7,250,No,No,"Chinese, North Indian, Andhra, Seafood",Koramangala 4Th Block,Ejipura,Average Rated
Blu Oyster,Casual Dining,2.8,40,1500,No,Yes,"Seafood, Continental, European, Mediterranean",Indiranagar,Indiranagar,Low Rated
Blue Bar - The Taj West End,Lounge,4.0,113,2500,No,Yes,Continental,Church Street,Race Course Road,High Rated
Blue Berry Restaurant,Casual Dining,2.9,17,600,No,No,"North Indian, Kerala, Chinese",Bannerghatta Road,Btm,Low Rated
Blue Ginger - The Taj West End,Fine Dining,4.4,514,3200,No,Yes,Vietnamese,Church Street,Race Course Road,High Rated
Blue Heaven Bar And Restaurant,Bar,3.2,6,750,No,No,"Chinese, North Indian",Lavelle Road,Majestic,Average Rated
Blue Terrain - Novotel,Fine Dining,4.2,505,2000,No,Yes,"Spanish, Italian, Mediterranean",Bellandur,Marathahalli,High Rated
Blue Tokai Coffee Roasters,Cafe,2.8,40,400,Yes,No,"Cafe, Coffee","Byresandra,Tavarekere,Madiwala",Koramangala 8Th Block,Low Rated
Blue Wings Bar & Restaurant,"Bar, Casual Dining",3.7,43,700,No,No,"North Indian, Chinese",Banashankari,Banashankari,Average Rated
Blueberry Restaurant,Quick Bites,3.5,48,400,Yes,No,"North Indian, Biryani, South Indian",Sarjapur Road,Bellandur,Average Rated
Bluo,Lounge,4.1,401,1500,No,Yes,"Continental, North Indian",Malleshwaram,Malleshwaram,High Rated
Blytons,Bar,2.8,40,1500,No,No,Bar Food,Jp Nagar,Hebbal,Low Rated
Bmg Hotel,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian",Electronic City,Electronic City,Low Rated
Bmr Hyderabad Biryani,"Takeaway, Delivery",3.6,24,400,Yes,No,Biryani,Bannerghatta Road,Btm,Average Rated
Bobacha,Beverage Shop,4.1,74,300,Yes,No,"Beverages, Bubble Tea, Tea",Brookefield,Whitefield,High Rated
Bob'S Bar,"Bar, Casual Dining",2.8,40,1000,No,No,"South Indian, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Low Rated
Bob'S Restaurant,Quick Bites,4.0,330,500,Yes,No,"North Indian, Chinese",Indiranagar,Jeevan Bhima Nagar,High Rated
Body Temple,Quick Bites,3.3,12,500,Yes,No,Healthy Food,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Boho,Casual Dining,4.2,1721,1200,No,Yes,"Continental, Asian, American, North Indian, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Bohra Bohra CafãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Quick Bites,3.5,49,300,Yes,No,Bohri,Jayanagar,Jp Nagar,Average Rated
Bold,"Bar, Casual Dining",3.9,866,1500,No,Yes,"Modern Indian, Continental, North Indian",Marathahalli,Marathahalli,Average Rated
Bollywood Grill,Casual Dining,3.4,5,1500,No,No,North Indian,Electronic City,Electronic City,Average Rated
Bologna,Casual Dining,4.5,717,1000,No,Yes,Italian,Indiranagar,Indiranagar,High Rated
Bombay Adda,"Casual Dining, Bar",4.4,2355,1100,No,Yes,Modern Indian,Koramangala 4Th Block,Koramangala 7Th Block,High Rated
Bombay Brasserie,Casual Dining,4.3,555,1800,Yes,No,Modern Indian,Bellandur,Bellandur,High Rated
Bombay Chowpaty Kulfi,Dessert Parlor,3.7,40,250,No,No,"Ice Cream, Desserts",Kalyan Nagar,Kalyan Nagar,Average Rated
Bombay Food Express,Quick Bites,3.7,18,250,No,No,"Street Food, Fast Food",Brigade Road,Shanti Nagar,Average Rated
Bombay Kulfi,Dessert Parlor,3.4,33,150,Yes,No,"Desserts, Ice Cream",Sarjapur Road,Sarjapur Road,Average Rated
Bombay Kulfis,Dessert Parlor,3.3,4,200,No,No,Ice Cream,Indiranagar,Indiranagar,Average Rated
Bombay Sandwich Company,Delivery,3.0,40,400,Yes,No,"Sandwich, Beverages",Old Airport Road,Indiranagar,Average Rated
Bombay Talkies,Quick Bites,3.6,24,200,Yes,No,"Maharashtrian, Fast Food, Street Food, Sandwich",Koramangala 7Th Block,Jayanagar,Average Rated
Bombay Vada Pav Corner,Quick Bites,4.1,84,150,Yes,No,Street Food,Rajajinagar,Seshadripuram,High Rated
Bon Appetit Resto,Delivery,3.8,50,300,Yes,No,"North Indian, Chinese",Malleshwaram,New Bel Road,Average Rated
Bon Baker,Delivery,3.7,19,1000,No,No,Desserts,Marathahalli,Whitefield,Average Rated
Bon Sante,Cafe,3.6,104,800,No,No,"Cafe, Continental, Italian",Church Street,Brigade Road,Average Rated
Bonbonbite,Bakery,3.5,10,450,No,No,"Bakery, Desserts",New Bel Road,Jalahalli,Average Rated
Bonfooder,Delivery,3.8,36,400,Yes,No,North Indian,Sarjapur Road,Sarjapur Road,Average Rated
Bong Connections,Quick Bites,2.8,40,300,No,No,"Chinese, North Indian",Brookefield,Whitefield,Low Rated
Bonghomie,"Takeaway, Delivery",3.4,10,300,No,No,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Bonsouth,Casual Dining,4.2,2616,1300,Yes,Yes,"Chettinad, Andhra, Kerala","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Bonum Cibum,Casual Dining,4.5,181,1200,Yes,No,"Lebanese, Turkish","Byresandra,Tavarekere,Madiwala",Hsr,High Rated
Book My Cakes,Bakery,3.3,4,300,Yes,No,Bakery,Indiranagar,Old Airport Road,Average Rated
Boondock Bistro,"Casual Dining, Cafe",3.9,1636,900,Yes,Yes,"Steak, Continental, American, Italian, Salad, Cafe",Whitefield,Whitefield,Average Rated
Bootlegger,Lounge,4.0,601,1800,No,Yes,"Continental, Steak",Indiranagar,Indiranagar,High Rated
Boozers Bar & Kitchen,"Bar, Casual Dining",4.3,700,400,No,No,"Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",Indiranagar,Indiranagar,High Rated
Borah'S Kitchen,Quick Bites,3.3,12,250,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Boston Barista - Kappayum Curriyum,Quick Bites,3.6,64,350,Yes,No,Kerala,Jayanagar,Btm,Average Rated
Bottle & Glass,"Bar, Casual Dining",4.0,973,1400,No,Yes,"Continental, Chinese, Italian",Indiranagar,Indiranagar,High Rated
Bottle Breacher,"Casual Dining, Pub",4.1,1187,1200,No,Yes,"Italian, Continental",Bannerghatta Road,Jp Nagar,High Rated
Bottoms Up Resto Bar,Bar,3.9,248,1200,No,No,"Finger Food, Italian, Continental",Kammanahalli,Kalyan Nagar,Average Rated
Bowl House Kitchen,"Takeaway, Delivery",2.8,40,400,Yes,No,"North Indian, Biryani, Asian",Electronic City,Electronic City,Low Rated
Bowl N Biryani,Quick Bites,3.3,24,500,Yes,No,"Biryani, North Indian, Chinese",Whitefield,"Itpl Main Road, Whitefield",Average Rated
Bowl'D Over Rice,"Takeaway, Delivery",2.8,40,300,Yes,No,North Indian,Old Airport Road,Indiranagar,Low Rated
Bowlful,"Takeaway, Delivery",3.6,12,500,Yes,No,North Indian,Indiranagar,Domlur,Average Rated
Bowls & Combos Co.,Delivery,2.8,40,300,No,No,"Chinese, Thai, North Indian",Indiranagar,Indiranagar,Low Rated
Bowring Kulfi,Dessert Parlor,4.0,40,150,No,No,"Ice Cream, Desserts",Brigade Road,Residency Road,High Rated
Box Magic,Quick Bites,3.6,21,400,Yes,No,"North Indian, South Indian, Seafood, Rolls",Bannerghatta Road,Bannerghatta Road,Average Rated
Box Of Biryani,Delivery,3.5,9,400,No,No,"Biryani, North Indian, Kebab",Koramangala 4Th Block,Koramangala 6Th Block,Average Rated
Box8- Desi Meals,Delivery,4.3,248,500,Yes,No,"North Indian, Mughlai, Fast Food",Jayanagar,Jp Nagar,High Rated
Boxes And Combos,Quick Bites,2.8,40,500,No,No,"North Indian, South Indian",Brookefield,Whitefield,Low Rated
Bozo'S Yum Yums,"Takeaway, Delivery",4.0,90,650,Yes,No,"Fast Food, Burger, American",Brigade Road,Frazer Town,High Rated
Br Military Hotel,Quick Bites,3.1,6,300,No,No,North Indian,Mg Road,Indiranagar,Average Rated
Brahma Brews,"Microbrewery, Casual Dining",2.8,40,1400,No,Yes,"Continental, South Indian, Finger Food, Pizza, Seafood",Bannerghatta Road,Jp Nagar,Low Rated
Brahmin Cafe,Quick Bites,3.8,19,150,No,No,South Indian,Banashankari,Banashankari,Average Rated
Brahmin Tiffins & Coffee,Quick Bites,3.5,40,100,No,No,"South Indian, Beverages",Basavanagudi,Basavanagudi,Average Rated
Brahmin'S Coffee Bar,Quick Bites,3.9,282,250,No,No,South Indian,Malleshwaram,Malleshwaram,Average Rated
Brahmins Food Corner,Quick Bites,3.7,95,400,Yes,No,"South Indian, North Indian, Chinese",New Bel Road,Jalahalli,Average Rated
Brahmins' Thatte Idli,Quick Bites,3.9,126,100,Yes,No,South Indian,Rajajinagar,Rajajinagar,Average Rated
Bramhin Tiffins,Quick Bites,3.6,12,150,No,No,South Indian,Jp Nagar,Jp Nagar,Average Rated
Brea,Bakery,3.4,34,300,Yes,No,"Bakery, Fast Food",Old Airport Road,Jeevan Bhima Nagar,Average Rated
Bread And Circus,Cafe,3.7,50,550,No,No,"Cafe, Fast Food, Pizza, Burger",Lavelle Road,Shanti Nagar,Average Rated
Bread Crumbs Bakery,Bakery,4.0,164,250,No,No,"Desserts, Bakery",Bannerghatta Road,Bannerghatta Road,High Rated
Breads And Banter,"Cafe, Bakery",4.2,65,400,No,Yes,"Cafe, Bakery, Fast Food",Brookefield,Brookefield,High Rated
Breadworks,"Bakery, Cafe",2.9,48,500,Yes,No,"Bakery, Cafe",Indiranagar,Indiranagar,Low Rated
Break Hour,Quick Bites,4.0,96,150,Yes,No,"Chinese, Beverages",Malleshwaram,Rajajinagar,High Rated
Breakfast House,Quick Bites,3.6,49,300,No,No,"South Indian, North Indian",Brookefield,"Itpl Main Road, Whitefield",Average Rated
Breakstation,Quick Bites,2.8,40,200,No,No,Fast Food,Old Airport Road,Old Airport Road,Low Rated
Breaktime Brew,Cafe,3.7,24,550,Yes,No,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Average Rated
Breezes - Hotel Pigeon International,Casual Dining,3.5,23,900,No,No,"North Indian, Continental",Old Airport Road,Old Airport Road,Average Rated
Breezy Cow Bar,Beverage Shop,3.8,25,400,Yes,No,Beverages,Marathahalli,Kaggadasapura,Average Rated
Brew And Barbeque - A Microbrewery Pub,"Microbrewery, Pub",4.6,5894,1400,Yes,Yes,"Continental, North Indian, Bbq, Steak",Marathahalli,Marathahalli,High Rated
Brew Bakes,Cafe,3.4,13,550,No,No,"Cafe, Continental, Italian",Basavanagudi,Jayanagar,Average Rated
Brew Bakes Cafe,Cafe,3.7,45,600,Yes,No,"Cafe, Beverages",Rajajinagar,Vijay Nagar,Average Rated
Brew Cafe,Quick Bites,3.2,4,300,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Brew Meister,"Microbrewery, Casual Dining",4.1,970,1500,Yes,Yes,"North Indian, Continental, Finger Food, American, Asian",Banashankari,Jayanagar,High Rated
Brew Point,Cafe,3.6,10,500,Yes,No,"Cafe, American, Burger, Sandwich, Fast Food",Bannerghatta Road,Jp Nagar,Average Rated
Brewbakes,Cafe,3.3,7,450,No,No,"Cafe, Pizza, Italian, Sandwich",New Bel Road,New Bel Road,Average Rated
Brewklyn Microbrewery,"Microbrewery, Casual Dining",4.4,2329,1400,Yes,Yes,"American, South Indian, Thai, Pizza, Italian",Kalyan Nagar,Kalyan Nagar,High Rated
Brews N Bites,"Quick Bites, Cafe",2.7,48,650,Yes,No,"Chinese, Fast Food, Cafe, Street Food, Finger Food",Bannerghatta Road,Bannerghatta Road,Low Rated
Brewsky,Microbrewery,4.3,4321,1600,Yes,Yes,"Continental, American",Jayanagar,Jp Nagar,High Rated
Brewz Coffee,Cafe,3.0,61,650,Yes,No,Cafe,Bannerghatta Road,Btm,Average Rated
Bricklane,Casual Dining,4.2,1633,1500,No,Yes,"Italian, Mediterranean, Pizza",Indiranagar,Indiranagar,High Rated
Bridgeway,Casual Dining,3.8,94,550,No,No,"North Indian, Chinese",Banashankari,Mysore Road,Average Rated
Brik Oven,Cafe,2.8,40,1100,No,No,"Cafe, Pizza, Beverages",Indiranagar,Indiranagar,Low Rated
Brilram'S Balaji Bhavan,Casual Dining,3.9,141,700,No,No,"South Indian, North Indian, Chinese",Whitefield,Whitefield,Average Rated
Brimstone Cafe,"Cafe, Casual Dining",4.0,387,1300,Yes,Yes,"Cafe, Continental, Salad, Italian",Bellandur,Hsr,High Rated
Brindavan Veg,Quick Bites,3.7,20,350,Yes,No,"South Indian, North Indian, Chinese, Street Food",Kalyan Nagar,Hbr Layout,Average Rated
Broadway - The Gourmet Theatre,Casual Dining,4.2,1142,1800,Yes,Yes,"Japanese, North Indian, Italian, Korean, Mexican, Thai",Bellandur,Hsr,High Rated
Brooks 37,"Casual Dining, Bar",4.1,237,1000,Yes,Yes,"North Indian, Continental, Asian, Pizza",Brookefield,Brookefield,High Rated
Brooks And Bonds Brewery,"Casual Dining, Microbrewery",4.4,3870,1600,Yes,Yes,"Continental, Mediterranean, North Indian, Chinese, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Brother?S Bar & Kitchen,Casual Dining,3.4,5,1000,No,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
BrotherãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂS Bar & Kitchen,Casual Dining,3.4,5,1000,No,No,"Chinese, North Indian",Koramangala 6Th Block,Btm,Average Rated
Brown Crust Cafe,Cafe,2.9,18,300,No,No,"Cafe, Italian, Desserts",Indiranagar,Old Airport Road,Low Rated
Brownie Heaven,Dessert Parlor,3.9,16,300,Yes,No,Desserts,Brigade Road,Koramangala 5Th Block,Average Rated
Brownie Points,Bakery,3.8,25,300,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average Rated
Brunch & Munch - Hotel Millennium Plaza,Casual Dining,3.5,23,1200,No,No,"North Indian, Chinese, Mangalorean, Andhra",Electronic City,Electronic City,Average Rated
Bruncherz,Quick Bites,3.5,15,200,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Brunchilly,Casual Dining,4.0,213,1300,No,Yes,"North Indian, Continental",Marathahalli,Marathahalli,High Rated
Brundhavana Food Point,Quick Bites,4.0,191,300,Yes,No,"South Indian, North Indian, Chinese, Street Food, Beverages",Banashankari,Kumaraswamy Layout,High Rated
Brundhavana Pure Veg,Casual Dining,3.7,98,500,Yes,No,"South Indian, North Indian, Chinese, Beverages",Bannerghatta Road,Jp Nagar,Average Rated
Btdt? Been There Done That,"Bar, Casual Dining",4.3,879,1300,No,Yes,"European, Continental, Asian, Finger Food",Indiranagar,Indiranagar,High Rated
Btm,Casual Dining,2.8,40,400,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",Btm,Low Rated
Btm Bawarchi Biryani,"Takeaway, Delivery",3.5,132,600,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Btm Cakes,Bakery,3.3,8,400,Yes,No,"Bakery, Desserts",Bannerghatta Road,Btm,Average Rated
Btm Ghar Ka Khana,Quick Bites,3.7,126,200,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
B'Town Cafe & Restaurant,Food Court,3.5,8,350,No,No,"Arabian, Continental",Bellandur,Marathahalli,Average Rated
Bubble Bee,Dessert Parlor,3.9,45,400,Yes,No,"Beverages, Bubble Tea, Desserts","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Bubbles,Cafe,3.7,21,450,No,No,"Cafe, Fast Food, Beverages",Mg Road,Frazer Town,Average Rated
Bubblewrap Waffle Co.,Dessert Parlor,4.4,356,400,Yes,No,"Desserts, Beverages",Basavanagudi,Jayanagar,High Rated
Bucket Biriyani,Quick Bites,3.5,14,600,No,No,"Biryani, North Indian, Chinese",Kalyan Nagar,Banaswadi,Average Rated
Buddha Treats,Casual Dining,4.2,351,600,Yes,No,"Chinese, Thai",Brookefield,Brookefield,High Rated
Budget Food,Casual Dining,3.5,42,700,No,Yes,"North Indian, Biryani",Old Airport Road,Old Airport Road,Average Rated
Buff Buffet Buff,"Casual Dining, Bar",4.5,3125,1500,Yes,Yes,"North Indian, Chinese, Continental, Thai, Salad","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Bufferia,"Casual Dining, Bar",4.0,345,1500,No,Yes,"Asian, Continental, European, Mediterranean",Brookefield,Marathahalli,High Rated
Bufferia Express,Delivery,3.4,18,800,Yes,No,"North Indian, Chinese",Brookefield,East Bangalore,Average Rated
Bullet Biryani,"Takeaway, Delivery",3.2,9,300,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Bulls N Bears - Bar Trade Xchange,"Pub, Bar",3.8,155,1000,No,Yes,"Finger Food, North Indian, Continental, Pizza",Koramangala 7Th Block,Koramangala 5Th Block,Average Rated
Bun Maska Chai,Quick Bites,3.9,120,250,Yes,No,"Street Food, Fast Food",Indiranagar,Jeevan Bhima Nagar,Average Rated
Bun Town,Cafe,3.8,22,500,Yes,No,"Cafe, Bakery","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Bun World,Bakery,3.9,132,250,No,No,"Bakery, Fast Food",Malleshwaram,Malleshwaram,Average Rated
Bundar,Cafe,4.1,2448,700,No,No,"Cafe, Burger, Fast Food, Desserts",Koramangala 4Th Block,Koramangala 6Th Block,High Rated
Bunker Restaurant,Quick Bites,3.7,29,300,No,No,"North Indian, South Indian, Fast Food, Momos",Sarjapur Road,Sarjapur Road,Average Rated
Bunny Bakers,Bakery,3.6,31,250,No,No,"Bakery, Fast Food","Byresandra,Tavarekere,Madiwala",Jayanagar,Average Rated
Bunt'S Biriyani Palace,Quick Bites,3.0,213,400,Yes,No,"North Indian, South Indian, Chinese, Biryani, Seafood",Banashankari,Banashankari,Average Rated
Bunty'S Belly,Cafe,2.8,40,300,No,No,"Cafe, Beverages, Rolls, Sandwich",Kalyan Nagar,Kalyan Nagar,Low Rated
Burger Bite House,Quick Bites,2.6,39,400,Yes,No,"Burger, Fast Food, Desserts",Marathahalli,Kaggadasapura,Low Rated
Burger Crush,Delivery,3.2,4,500,No,No,Fast Food,Bellandur,Sarjapur Road,Average Rated
Burger Garden,Delivery,3.4,7,300,Yes,No,"Fast Food, Burger, Desserts, Cafe","Byresandra,Tavarekere,Madiwala",South Bangalore,Average Rated
Burger King,Food Court,3.5,21,600,No,No,"Burger, Fast Food, Beverages",Bellandur,Bellandur,Average Rated
Burger Lounge,Quick Bites,3.0,72,600,Yes,No,"Burger, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Burger Man,Quick Bites,3.4,19,300,Yes,No,"Burger, Fast Food",New Bel Road,Yeshwantpur,Average Rated
Burger Mania,Quick Bites,2.8,40,400,Yes,No,"Burger, Sandwich, Fast Food",Hsr,Hsr,Low Rated
Burgundy - Royal Orchid Suites,Casual Dining,3.9,104,1200,No,Yes,North Indian,Whitefield,Whitefield,Average Rated
Burj Hotel,Quick Bites,3.4,54,350,Yes,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Average Rated
Burma Burma,Casual Dining,4.7,1594,1500,Yes,No,"Asian, Burmese",Indiranagar,Indiranagar,High Rated
Burp,Cafe,4.0,605,800,Yes,Yes,"Cafe, Mexican, Italian, Pizza",Malleshwaram,New Bel Road,High Rated
Burrito Boys,Food Court,2.7,39,330,No,No,"Mexican, Tex-Mex",Bellandur,Bellandur,Low Rated
