restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
Amrut,Quick Bites,3.5,250,300,Yes,No,"North Indian, Chinese, Fast Food",Malleshwaram,Malleshwaram,Average Rated
Amruta,Casual Dining,3.8,20,600,No,No,"South Indian, North Indian, Chinese",Lavelle Road,Majestic,Average Rated
Amruth Parkland,"Bar, Casual Dining",3.5,54,900,No,No,"North Indian, Chinese",Sarjapur Road,Sarjapur Road,Average Rated
Amrutha Foods,Quick Bites,2.8,40,300,No,No,South Indian,Marathahalli,Old Airport Road,Low Rated
Amrutha Grand Restaurant,Casual Dining,3.2,204,500,Yes,No,"North Indian, Biryani, Chinese",Bellandur,Sarjapur Road,Average Rated
Amrutha Mess,Quick Bites,3.4,5,300,No,No,Kerala,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Amrutha Sweets,Quick Bites,3.5,13,200,No,No,"Street Food, Mithai",Koramangala 4Th Block,Ejipura,Average Rated
Am'S Cafe Recreate,"Takeaway, Delivery",3.3,8,250,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Amul Ice Cream,Dessert Parlor,2.8,40,100,Yes,No,"Desserts, Ice Cream",Hsr,Hsr,Low Rated
An Egg Story,Cafe,4.0,241,600,No,No,"Cafe, Continental, American, Italian",Kalyan Nagar,Kalyan Nagar,High Rated
Anamika Roll Centre,Quick Bites,3.2,4,300,No,No,"North Indian, Fast Food, Rolls",Jayanagar,Wilson Garden,Average Rated
Anand Donne Biriyani,Quick Bites,3.6,45,200,Yes,No,Biryani,Banashankari,Jayanagar,Average Rated
Anand Sagar Inn,Casual Dining,3.2,6,450,No,No,"South Indian, North Indian, Chinese",Jayanagar,Basavanagudi,Average Rated
Anand Sweets And Savouries,Quick Bites,4.0,99,400,Yes,No,"Mithai, Street Food",Kalyan Nagar,Kammanahalli,High Rated
Anand Vihar,Quick Bites,2.5,58,400,No,No,"North Indian, Chinese",Frazer Town,Rt Nagar,Low Rated
Anda Ka Funda,Quick Bites,3.1,14,300,Yes,No,"North Indian, Chinese",Jp Nagar,Jayanagar,Average Rated
Anda Special-Pav Bhaji,Quick Bites,3.4,8,200,Yes,No,Fast Food,New Bel Road,Yeshwantpur,Average Rated
Andal Mess,Mess,3.1,22,300,Yes,No,"Biryani, South Indian, North Indian",Koramangala 4Th Block,Domlur,Average Rated
Ande Ka Funda,Quick Bites,2.8,60,250,No,No,"North Indian, Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",Btm,Low Rated
Andhra Amigos,Casual Dining,3.6,81,350,Yes,No,"Andhra, North Indian, Biryani",Electronic City,Electronic City,Average Rated
Andhra Bhojanam,Casual Dining,3.6,21,600,No,No,"North Indian, South Indian, Andhra",Bannerghatta Road,Bannerghatta Road,Average Rated
Andhra Biriyani Palace,Quick Bites,2.8,40,250,Yes,No,"Biryani, Andhra",Kalyan Nagar,Nagawara,Low Rated
Andhra Biryani & Curries,Quick Bites,3.1,4,400,Yes,No,"North Indian, South Indian, Chinese, Andhra, Biryani",Electronic City,Electronic City,Average Rated
Andhra Biryanis,Casual Dining,4.0,108,700,Yes,No,"Andhra, Biryani, North Indian",Brookefield,Whitefield,High Rated
Andhra Box,Quick Bites,3.2,4,400,No,No,"Andhra, Biryani, Chinese",Brookefield,Marathahalli,Average Rated
Andhra Central,Food Court,3.1,13,400,Yes,No,Andhra,Brookefield,Marathahalli,Average Rated
Andhra Chettinad Cuisine,Quick Bites,3.6,24,250,No,No,"Andhra, South Indian, Chettinad",Electronic City,Electronic City,Average Rated
Andhra Express,"Takeaway, Delivery",3.7,19,300,Yes,No,"Andhra, Biryani, North Indian, Beverages",Marathahalli,Cv Raman Nagar,Average Rated
Andhra Food Cafe (Afc),Quick Bites,3.3,46,250,Yes,No,"Andhra, North Indian, South Indian",Electronic City,Electronic City,Average Rated
Andhra Ghumaghumalu,Quick Bites,2.8,40,300,Yes,No,"Andhra, Biryani, North Indian",Brookefield,Whitefield,Low Rated
Andhra Grills,Casual Dining,3.0,55,800,No,No,"Andhra, North Indian, Biryani",Bannerghatta Road,Jp Nagar,Average Rated
Andhra Kafe,Casual Dining,3.8,241,550,Yes,No,"Andhra, South Indian, North Indian, Biryani",Brookefield,Whitefield,Average Rated
Andhra Kitchen,Quick Bites,3.9,45,400,Yes,No,Andhra,Electronic City,Electronic City,Average Rated
Andhra Mess,Mess,2.8,17,400,Yes,No,"Andhra, Biryani, Chinese",Brookefield,Brookefield,Low Rated
Andhra Paris,Quick Bites,3.2,5,250,Yes,No,Andhra,Bellandur,Sarjapur Road,Average Rated
Andhra Ruchi'S Restaurant,Delivery,3.1,72,500,Yes,No,"Andhra, North Indian, Biryani",Whitefield,Whitefield,Average Rated
Andhra Ruchulu,Casual Dining,4.2,1428,800,Yes,Yes,"Andhra, North Indian",Bannerghatta Road,Jp Nagar,High Rated
Andhra Spice,Casual Dining,2.8,40,600,No,No,"North Indian, Hyderabadi, Chinese, South Indian, Beverages, Desserts",Bellandur,Sarjapur Road,Low Rated
Andhra Spice Mess,Quick Bites,3.4,9,250,Yes,No,"Andhra, Biryani, North Indian, Chinese",New Bel Road,New Bel Road,Average Rated
Andhra Spices,Quick Bites,3.2,4,400,No,No,"Andhra, Chinese, South Indian",Whitefield,Brookefield,Average Rated
Andhra Spicy,Quick Bites,3.5,11,400,No,No,"Andhra, Biryani",Bellandur,Bellandur,Average Rated
Andhra Spicy Food Court,Quick Bites,3.2,22,400,Yes,No,"Andhra, Biryani",Electronic City,Electronic City,Average Rated
Andhra Spicy Inn,Quick Bites,2.8,40,450,Yes,No,"North Indian, South Indian, Mughlai, Andhra, Biryani, Chinese",Kalyan Nagar,Nagawara,Low Rated
Andhra Star Biryani,Quick Bites,3.2,6,200,No,No,Biryani,Marathahalli,Brookefield,Average Rated
Andhra Vantakam,Casual Dining,3.9,317,800,Yes,No,"Andhra, Chinese, North Indian, Seafood",Malleshwaram,Rajajinagar,Average Rated
Andhra Vantillu,Quick Bites,3.3,4,350,No,No,"South Indian, North Indian",Hsr,Hsr,Average Rated
Andhra Vilaas,Quick Bites,3.7,52,350,Yes,No,"Andhra, North Indian, Biryani",Bellandur,Sarjapur Road,Average Rated
Andhra Vindu Multi Cuisine Restaurant,Casual Dining,3.3,11,600,Yes,No,"Andhra, South Indian, Fast Food",Brookefield,Marathahalli,Average Rated
Andy'S CafãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,3.1,12,300,No,No,"Cafe, Beverages, Fast Food",New Bel Road,New Bel Road,Average Rated
Angaar Biriyani,Quick Bites,3.7,92,400,Yes,No,"Biryani, Chinese, Fast Food",Whitefield,Whitefield,Average Rated
Angaar Indian Grill & Restaurant,Casual Dining,3.9,121,600,No,No,"Arabian, Mughlai, North Indian, Chinese, Rolls",Kalyan Nagar,Hbr Layout,Average Rated
Angel Mess,Quick Bites,3.5,17,200,No,No,South Indian,Marathahalli,Kaggadasapura,Average Rated
Angel Mutton Leg Soup,Quick Bites,3.5,22,200,No,No,South Indian,Indiranagar,Jeevan Bhima Nagar,Average Rated
Angel Restaurant,Quick Bites,2.8,165,450,Yes,No,"Kerala, South Indian, North Indian",Bannerghatta Road,Bannerghatta Road,Low Rated
Angel'S Kitchen,Quick Bites,3.5,10,300,No,No,Kerala,Whitefield,Whitefield,Average Rated
Angiie'S Cafe,Quick Bites,3.7,29,450,Yes,No,"Burger, Fast Food",Bellandur,Sarjapur Road,Average Rated
Anika'S India Kitchen,Delivery,3.3,5,250,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Aniram'S,Delivery,4.1,739,500,Yes,No,"Chinese, North Indian",Bannerghatta Road,Jp Nagar,High Rated
Anjappaar,Casual Dining,3.9,96,650,No,No,"Chettinad, South Indian",Marathahalli,Marathahalli,Average Rated
Anjappar,Casual Dining,2.7,40,650,No,No,"Chettinad, South Indian",Jayanagar,Jp Nagar,Low Rated
Anju'S Cafe,Cafe,3.4,6,600,No,No,"Cafe, North Indian",Bannerghatta Road,Jp Nagar,Average Rated
Anna Kuteera,Casual Dining,3.8,62,400,No,No,"South Indian, North Indian, Chinese",Residency Road,St. Marks Road,Average Rated
Annabell,"Quick Bites, Beverage Shop",4.0,264,700,Yes,No,"Continental, Beverages",Indiranagar,Indiranagar,High Rated
Annalakshmi,Casual Dining,3.5,28,700,No,No,"Andhra, Chettinad",Bellandur,Bellandur,Average Rated
Annapoorani,Casual Dining,3.9,434,400,No,No,South Indian,Indiranagar,Indiranagar,Average Rated
Annapoorni Grand,Casual Dining,3.9,82,450,No,No,"Chinese, South Indian, North Indian",Lavelle Road,Majestic,Average Rated
